Boundary Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=12369
================================================================================

Gen 0: [(-0.318340,-0.947977), (0.006243,0.999981), (0.698842,-0.715277), (0.382105,-0.924119), (0.616195,0.787593), (0.964826,-0.262889), (0.520325,0.853969), (-0.567254,0.823543), (-0.834197,-0.551466), (0.999977,-0.006767), (-0.949880,-0.312615), (0.898202,-0.439582), (-0.812788,0.582560), (-0.171057,0.985261), (-0.915895,-0.401417), (0.835888,0.548901), (0.790362,0.612640), (0.371656,0.928371), (-0.932273,0.361757), (0.721087,0.692845), (-0.794120,-0.607761), (0.998080,0.061932), (-0.547563,-0.836765), (-0.423526,0.905884), (-0.999976,0.006888)]
Gen 1: [(0.892083,0.451872), (0.739770,-0.672860), (-0.274062,0.961712), (0.961629,0.274353), (-0.886269,-0.463171), (0.919717,-0.392582), (-0.409730,0.912207), (0.934233,0.356663), (-0.619876,-0.784699), (0.564449,-0.825468), (-0.365264,-0.930904), (-0.851752,-0.523946), (0.274636,-0.961548), (-0.994849,0.101371), (0.667428,-0.744674), (-0.992178,-0.124830), (0.560067,0.828447), (-0.727903,-0.685680), (0.832479,-0.554057), (-0.908483,0.417921), (-0.492721,-0.870188), (0.868806,-0.495152), (-0.860706,0.509102), (0.747382,0.664395), (-0.973247,0.229760)]
Gen 2: [(0.892083,0.451872), (0.739770,-0.672860), (-0.274062,0.961712), (0.961629,0.274353), (-0.886269,-0.463171), (0.919717,-0.392582), (-0.409730,0.912207), (0.934233,0.356663), (-0.619876,-0.784699), (0.564449,-0.825468), (-0.365264,-0.930904), (-0.851752,-0.523946), (0.274636,-0.961548), (-0.994849,0.101371), (0.667428,-0.744674), (-0.992178,-0.124830), (0.560067,0.828447), (-0.727903,-0.685680), (0.832479,-0.554057), (-0.908483,0.417921), (-0.492721,-0.870188), (0.868806,-0.495152), (-0.860706,0.509102), (0.747382,0.664395), (-0.973247,0.229760)]
Gen 3: [(0.892083,0.451872), (0.739770,-0.672860), (-0.274062,0.961712), (0.961629,0.274353), (-0.886269,-0.463171), (0.919717,-0.392582), (-0.409730,0.912207), (0.934233,0.356663), (-0.619876,-0.784699), (0.564449,-0.825468), (-0.365264,-0.930904), (-0.851752,-0.523946), (0.274636,-0.961548), (-0.994849,0.101371), (0.667428,-0.744674), (-0.992178,-0.124830), (0.560067,0.828447), (-0.727903,-0.685680), (0.832479,-0.554057), (-0.908483,0.417921), (-0.492721,-0.870188), (0.868806,-0.495152), (-0.860706,0.509102), (0.747382,0.664395), (-0.973247,0.229760)]
Gen 4: [(0.421854,-0.906664), (0.991661,0.128872), (0.804099,0.594495), (0.490746,-0.871302), (0.034174,0.999416), (-0.884748,-0.466070), (0.639880,-0.768475), (-0.793315,0.608811), (0.902239,0.431237), (0.127476,0.991842), (-0.999538,0.030378), (-0.950851,-0.309647), (-0.647338,0.762203), (-0.111556,-0.993758), (0.986155,-0.165826), (0.964867,0.262740), (0.308758,0.951141), (-0.382313,-0.924033), (-0.565214,0.824944), (0.382857,0.923808), (-0.044519,0.999009), (0.883357,-0.468701), (0.239726,0.970841), (-0.254601,-0.967046), (0.812204,-0.583374)]
Gen 5: [(0.870318,-0.492489), (-0.616736,0.787170), (0.015055,0.999887), (0.996636,-0.081953), (-0.924472,0.381250), (0.964826,-0.262889), (0.520325,0.853969), (0.934233,0.356663), (-0.834197,-0.551466), (0.564449,-0.825468), (0.619673,-0.784860), (0.898202,-0.439582), (0.974830,0.222950), (0.161519,-0.986870), (-0.999439,-0.033479), (-0.427803,0.903872), (0.790362,0.612640), (-0.727903,-0.685680), (-0.561187,-0.827689), (-0.318550,0.947906), (-0.492721,-0.870188), (0.250835,-0.968030), (0.261747,0.965137), (-0.972994,-0.230830), (0.757474,-0.652865)]
Gen 6: [(0.870318,-0.492489), (-0.616736,0.787170), (0.015055,0.999887), (0.996636,-0.081953), (-0.950265,-0.311442), (0.964826,-0.262889), (-0.409730,0.912207), (0.934233,0.356663), (-0.663750,-0.747955), (0.730122,-0.683317), (0.619673,-0.784860), (0.682901,0.730511), (0.974830,0.222950), (-0.763434,0.645885), (-0.999439,-0.033479), (0.989710,-0.143086), (0.790362,0.612640), (-0.203354,0.979105), (-0.561187,-0.827689), (-0.318550,0.947906), (0.374783,0.927113), (-0.350054,-0.936729), (0.261747,0.965137), (0.747382,0.664395), (-0.973247,0.229760)]
Gen 7: [(-0.604012,0.796975), (-0.509039,-0.860744), (0.940605,-0.339503), (0.961629,0.274353), (-0.886269,-0.463171), (0.722745,-0.691115), (0.520325,0.853969), (-0.999935,-0.011432), (-0.720492,-0.693463), (0.975771,-0.218796), (-0.365264,-0.930904), (-0.076191,0.997093), (-0.801879,-0.597487), (-0.160721,-0.987000), (-0.915895,-0.401417), (-0.427803,0.903872), (-0.684735,0.728792), (-0.203354,0.979105), (0.832479,-0.554057), (-0.955983,-0.293423), (0.372695,-0.927954), (0.883357,-0.468701), (-0.436746,-0.899585), (0.997610,0.069093), (-0.973247,0.229760)]
Gen 8: [(-0.705286,-0.708923), (-0.901497,-0.432784), (0.924322,0.381613), (0.530046,-0.847969), (0.616195,0.787593), (-0.988756,-0.149536), (0.324334,-0.945943), (0.988970,-0.148114), (-0.834197,-0.551466), (0.669877,0.742472), (-0.617794,-0.786340), (0.892562,0.450925), (0.911073,-0.412246), (0.181250,-0.983437), (-0.979095,-0.203404), (-0.533093,0.846057), (-0.684735,0.728792), (-0.240105,-0.970747), (-0.932273,0.361757), (-0.940623,-0.339453), (-0.418068,0.908416), (-0.999674,0.025535), (0.520532,0.853842), (0.747382,0.664395), (0.704400,-0.709803)]
Gen 9: [(-0.999202,0.039954), (-0.834219,-0.551434), (-0.274062,0.961712), (-0.378647,-0.925541), (0.784247,0.620449), (0.245931,0.969287), (0.992683,-0.120754), (-0.975662,-0.219282), (0.899058,-0.437829), (0.564449,-0.825468), (0.815386,-0.578918), (-0.919866,-0.392233), (0.274636,-0.961548), (0.999920,0.012624), (0.119299,-0.992858), (-0.753545,0.657396), (0.560067,0.828447), (0.860541,0.509381), (0.775415,-0.631452), (0.068345,0.997662), (-0.492721,-0.870188), (-0.992540,0.121923), (-0.860706,0.509102), (0.399427,-0.916765), (-0.999830,-0.018436)]
Gen 10: [(-0.999202,0.039954), (-0.834219,-0.551434), (0.670432,-0.741971), (0.986849,0.161643), (0.895802,-0.444453), (-0.863789,0.503854), (-0.409730,0.912207), (0.901174,0.433459), (-0.663750,-0.747955), (0.973780,-0.227493), (-0.926043,-0.377418), (0.999910,0.013445), (0.728579,-0.684962), (0.788063,-0.615595), (-0.612207,-0.790697), (0.821876,-0.569666), (-0.599795,0.800153), (0.860541,0.509381), (-0.321696,0.946843), (0.068345,0.997662), (0.933274,0.359164), (0.952766,0.303704), (0.520532,0.853842), (0.997610,0.069093), (-0.938373,0.345623)]
Gen 11: [(-0.831920,-0.554895), (-0.965128,-0.261780), (-0.667747,-0.744389), (0.961629,0.274353), (-0.924472,0.381250), (0.585735,0.810503), (-0.889498,0.456939), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (0.920834,0.389956), (0.956996,-0.290101), (0.208016,0.978125), (0.999920,0.012624), (-0.979095,-0.203404), (-0.410866,0.911696), (-0.120113,0.992760), (-0.989163,0.146818), (-0.321696,0.946843), (-0.937027,-0.349256), (-0.492721,-0.870188), (-0.546636,-0.837370), (0.297176,0.954823), (0.747382,0.664395), (0.414478,0.910059)]
Gen 12: [(-0.209040,-0.977907), (0.654870,-0.755742), (0.924322,0.381613), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.963201,0.268783), (0.520325,0.853969), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (-0.365264,-0.930904), (0.582059,0.813146), (0.208016,0.978125), (-0.475905,0.879497), (-0.944573,0.328301), (0.689144,0.724624), (0.760465,-0.649379), (-0.119481,0.992836), (0.964356,-0.264606), (0.399253,-0.916841), (0.760521,0.649314), (0.952766,0.303704), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
Gen 13: [(-0.209040,-0.977907), (0.654870,-0.755742), (0.924322,0.381613), (0.938645,-0.344885), (-0.950265,-0.311442), (-0.963201,0.268783), (0.520325,0.853969), (0.796334,-0.604857), (0.993685,0.112204), (0.564449,-0.825468), (-0.365264,-0.930904), (0.582059,0.813146), (0.208016,0.978125), (-0.475905,0.879497), (-0.944573,0.328301), (0.689144,0.724624), (0.760465,-0.649379), (-0.119481,0.992836), (0.964356,-0.264606), (0.399253,-0.916841), (0.760521,0.649314), (0.952766,0.303704), (0.297176,0.954823), (-0.972994,-0.230830), (0.414478,0.910059)]
