Cartesian Representation Log
n=10, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.1, indpb=0.2, seed=42
================================================================================

Gen 0: [(-0.018793,-0.288378), (0.882286,-0.136304), (0.518987,0.734378), (-0.828612,0.237232), (-0.682055,-0.377754), (0.013591,-0.728700), (0.479311,-0.366644), (-0.501019,-0.087103), (-0.460467,-0.734986), (-0.452045,0.647013)]
Gen 1: [(-0.018793,-0.288378), (0.882286,-0.136304), (0.518987,0.734378), (-0.828612,0.237232), (-0.682055,-0.377754), (0.013591,-0.728700), (0.479311,-0.366644), (-0.501019,-0.087103), (-0.460467,-0.734986), (-0.452045,0.647013)]
Gen 2: [(-0.018793,-0.288378), (0.882286,-0.136304), (0.518987,0.734378), (-0.828612,0.237232), (-0.682055,-0.377754), (0.013591,-0.728700), (-0.571526,-0.735376), (-0.501019,-0.087103), (-0.054658,0.569239), (-0.452045,0.647013)]
Gen 3: [(0.142024,0.672599), (-0.869056,0.340670), (-0.730728,-0.002343), (-0.267292,0.211907), (0.282963,-0.200643), (0.106446,-0.852937), (-0.314534,0.802768), (-0.758422,-0.473248), (0.950166,-0.212193), (0.454338,-0.737588)]
Gen 4: [(0.931052,-0.172022), (0.612977,0.493119), (-0.322569,-0.769661), (0.210854,-0.801643), (-0.972163,0.073145), (-0.090428,0.345657), (0.344682,0.169120), (-0.783308,-0.532356), (0.122815,0.830512), (-0.395620,-0.183408)]
Gen 5: [(0.931052,-0.172022), (0.612977,0.493119), (-0.322569,-0.769661), (0.210854,-0.801643), (-0.972163,0.073145), (-0.090428,0.345657), (0.344682,0.169120), (-0.783308,-0.532356), (0.122815,0.830512), (-0.395620,-0.183408)]
Gen 6: [(0.073381,0.694345), (-0.678091,-0.558424), (-0.466044,0.873309), (-0.858014,0.262206), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (0.660945,-0.486060)]
Gen 7: [(0.073381,0.694345), (-0.678091,-0.558424), (-0.466044,0.873309), (-0.858014,0.262206), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (0.660945,-0.486060)]
Gen 8: [(-0.078331,0.541992), (-0.283555,-0.873339), (0.068849,-0.564340), (-0.268125,-0.198837), (-0.972163,0.073145), (0.293122,0.879502), (-0.556949,0.479632), (0.251986,-0.145599), (0.588430,0.116168), (0.732889,0.646396)]
Gen 9: [(-0.078331,0.541992), (-0.283555,-0.873339), (0.068849,-0.564340), (-0.268125,-0.198837), (-0.972163,0.073145), (0.293122,0.879502), (-0.556949,0.479632), (0.251986,-0.145599), (0.588430,0.116168), (0.732889,0.646396)]
Gen 10: [(0.073381,0.694345), (-0.678091,-0.558424), (-0.466044,0.873309), (-0.828612,0.237232), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (0.660945,-0.486060)]
Gen 11: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (-0.267292,0.211907), (0.050954,-0.372495), (-0.170231,-0.801957), (0.293692,0.262692), (0.874118,0.370846), (0.950166,-0.212193), (0.660945,-0.486060)]
Gen 12: [(-0.238598,0.953224), (0.868468,-0.047174), (0.068849,-0.564340), (-0.828612,0.237232), (0.412838,-0.871542), (-0.090428,0.345657), (-0.475095,-0.689451), (0.457090,-0.372645), (0.784946,0.511628), (-0.381894,-0.019127)]
Gen 13: [(-0.238598,0.953224), (0.868468,-0.047174), (0.068849,-0.564340), (-0.828612,0.237232), (0.412838,-0.871542), (-0.090428,0.345657), (-0.475095,-0.689451), (0.457090,-0.372645), (0.784946,0.511628), (-0.381894,-0.019127)]
Gen 14: [(-0.238598,0.953224), (0.868468,-0.047174), (0.068849,-0.564340), (-0.828612,0.237232), (0.412838,-0.871542), (-0.090428,0.345657), (-0.475095,-0.689451), (0.457090,-0.372645), (0.784946,0.511628), (-0.381894,-0.019127)]
Gen 15: [(-0.082715,0.710822), (-0.678091,-0.558424), (-0.466044,0.873309), (-0.278076,0.120700), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (0.360797,-0.762378), (0.950166,-0.212193), (0.660945,-0.486060)]
Gen 16: [(-0.082715,0.710822), (0.283389,-0.018809), (-0.466044,0.873309), (0.146259,-0.852572), (-0.227593,-0.433433), (-0.389042,0.051681), (0.543980,0.441849), (-0.783308,-0.532356), (0.597060,-0.567624), (-0.805761,0.450344)]
Gen 17: [(-0.082715,0.710822), (-0.678091,-0.558424), (-0.466044,0.873309), (0.642035,0.030539), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (-0.625202,0.189298), (0.660945,-0.486060)]
Gen 18: [(-0.082715,0.710822), (-0.678091,-0.558424), (-0.466044,0.873309), (-0.278076,0.120700), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (0.360797,-0.762378), (-0.753501,-0.123777), (0.660945,-0.486060)]
Gen 19: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.642035,0.030539), (0.282963,-0.200643), (-0.090428,0.345657), (0.543980,0.441849), (-0.306440,-0.296174), (0.597060,-0.567624), (-0.805761,0.450344)]
Gen 20: [(-0.082715,0.710822), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.293692,0.262692), (0.874118,0.370846), (0.950166,-0.212193), (0.473052,0.779265)]
Gen 21: [(0.142024,0.672599), (-0.678091,-0.558424), (0.590691,-0.544809), (0.587393,0.017511), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.381420,0.483387)]
Gen 22: [(0.142024,0.672599), (-0.678091,-0.558424), (0.590691,-0.544809), (0.587393,0.017511), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.381420,0.483387)]
Gen 23: [(-0.082715,0.710822), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.412838,-0.871542), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 24: [(-0.082715,0.710822), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.412838,-0.871542), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 25: [(-0.082715,0.710822), (-0.678091,-0.558424), (0.590691,-0.544809), (0.587393,0.017511), (0.050954,-0.372495), (0.106446,-0.852937), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 26: [(-0.082715,0.710822), (-0.678091,-0.558424), (0.590691,-0.544809), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.293692,0.262692), (0.874118,0.370846), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 27: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 28: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.412838,-0.871542), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 29: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.412838,-0.871542), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 30: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 31: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.587393,0.017511), (0.412838,-0.871542), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 32: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 33: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.067576,0.047393), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 34: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 35: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 36: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 37: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 38: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 39: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 40: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 41: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 42: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 43: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 44: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 45: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 46: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 47: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 48: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 49: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 50: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 51: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 52: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.663516,-0.578760), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 53: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.543980,0.441849), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 54: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.670873,0.178724), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 55: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.670873,0.178724), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 56: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.670873,0.178724), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 57: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.670873,0.178724), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 58: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.670873,0.178724), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 59: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.670873,0.178724), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 60: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 61: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 62: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 63: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 64: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 65: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 66: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 67: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 68: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 69: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
Gen 70: [(0.142024,0.672599), (-0.678091,-0.558424), (-0.466044,0.873309), (0.319649,-0.879732), (0.050954,-0.372495), (-0.170231,-0.801957), (0.616741,0.231441), (-0.501019,-0.087103), (0.950166,-0.212193), (-0.805761,0.450344)]
