Cartesian Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=42
================================================================================

Gen 0: [(-0.388357,-0.139354), (-0.497133,-0.299564), (-0.433469,0.718021), (0.330652,0.537771), (-0.606545,0.170450), (-0.053644,-0.290736), (-0.563123,0.627134), (-0.154873,0.933814), (-0.803723,-0.477478), (-0.732548,0.672677), (0.213158,0.757328), (-0.355040,0.156335), (0.366642,-0.600987), (-0.728618,0.108568), (0.476593,0.770964), (0.133330,0.256638), (0.091661,-0.248068), (0.751843,-0.126214), (-0.722780,-0.116197), (-0.373479,0.869760), (0.425197,-0.063242), (-0.144662,-0.158989), (-0.179483,-0.944654), (0.117818,0.914984), (-0.158163,0.511713)]
Gen 1: [(0.299816,-0.092474), (-0.550904,-0.444134), (-0.159876,-0.102277), (-0.073989,-0.767477), (-0.818877,0.459101), (0.195297,0.527179), (-0.671037,-0.378388), (0.251989,-0.806548), (0.448554,-0.506536), (0.223149,0.944608), (-0.331395,-0.499181), (-0.400216,0.226862), (-0.318396,-0.891134), (0.458452,0.470829), (-0.223779,0.442594), (0.090887,-0.307784), (-0.304327,-0.678885), (0.145205,0.136606), (0.037826,-0.674902), (-0.801789,0.156267), (0.669448,-0.228639), (-0.324935,-0.210798), (0.404375,-0.306157), (0.621817,0.592543), (-0.961557,0.142386)]
Gen 2: [(0.659523,0.392144), (-0.156237,-0.442910), (-0.500387,0.846531), (-0.502747,-0.831906), (0.100651,-0.898823), (0.465294,-0.526766), (0.784946,0.511628), (0.651143,0.669836), (-0.668037,-0.721530), (0.219189,0.424227), (-0.254409,-0.706499), (0.953687,0.275629), (-0.352693,0.408108), (-0.427821,-0.597615), (-0.154940,-0.955233), (0.617344,-0.615408), (0.673707,-0.133129), (-0.767149,-0.616713), (-0.478049,-0.393597), (-0.184852,0.392830), (-0.629391,0.459954), (-0.251527,-0.054163), (0.521438,-0.126109), (0.140740,-0.052534), (-0.295788,0.236958)]
Gen 3: [(0.299816,-0.092474), (-0.771523,-0.002185), (0.349077,-0.346761), (0.950166,-0.212193), (-0.376853,-0.274863), (0.157109,0.460989), (0.294179,0.068342), (-0.585685,-0.568097), (-0.668037,-0.721530), (0.223149,0.944608), (-0.881284,-0.298369), (-0.582385,-0.394141), (0.496854,-0.402174), (0.556034,0.026476), (0.616921,-0.747628), (0.265167,-0.598222), (0.959796,0.167404), (0.479826,-0.239167), (0.037826,-0.674902), (-0.801789,0.156267), (-0.083686,0.746933), (-0.110656,0.574748), (-0.571969,0.008391), (0.318460,0.564853), (0.465448,0.461864)]
Gen 4: [(-0.119912,0.954458), (-0.274366,-0.852538), (0.034014,0.441121), (0.408121,-0.489284), (-0.527157,0.285301), (0.770764,0.437673), (0.077180,-0.634689), (-0.242154,0.574828), (-0.668037,-0.721530), (-0.477339,-0.089058), (-0.659180,-0.311573), (-0.437830,0.077537), (0.199098,0.953963), (0.232056,-0.621796), (-0.565462,0.727460), (0.305791,0.765851), (0.894327,0.061740), (-0.138107,-0.446270), (-0.907720,0.041155), (-0.081357,0.825405), (-0.512495,0.597908), (0.290143,0.018317), (-0.007649,0.664806), (-0.206207,-0.253897), (-0.187945,0.130004)]
Gen 5: [(0.131217,-0.611544), (0.334937,-0.828585), (-0.139192,0.785064), (0.019217,-0.022756), (0.511347,-0.728803), (-0.419660,0.098830), (-0.418695,-0.865274), (0.261905,0.352851), (-0.047475,-0.842090), (-0.420415,-0.361018), (0.362133,-0.491424), (0.204299,0.903556), (-0.166582,0.248627), (-0.833855,0.205625), (0.203051,0.517642), (-0.153250,0.976560), (0.298814,-0.010050), (0.892294,0.148006), (-0.223802,-0.205290), (-0.234423,-0.384042), (-0.722981,-0.313409), (0.573101,0.246116), (-0.410571,0.394076), (-0.311214,-0.714573), (0.497460,0.860034)]
Gen 6: [(0.131217,-0.611544), (-0.274366,-0.852538), (-0.418848,-0.611193), (-0.049601,-0.173747), (0.038146,-0.873764), (-0.077470,0.099329), (0.175848,-0.298738), (0.203843,0.689397), (-0.668037,-0.721530), (0.618976,0.321817), (-0.602084,0.151789), (0.433249,0.023119), (0.199098,0.953963), (0.983325,-0.169839), (-0.129157,0.490664), (-0.153250,0.976560), (-0.954581,0.116773), (0.788862,-0.475170), (-0.276070,-0.088358), (0.327004,-0.870254), (-0.693007,-0.283826), (0.290143,0.018317), (-0.484743,-0.047395), (0.499365,-0.366241), (0.497460,0.860034)]
Gen 7: [(0.131217,-0.611544), (-0.274366,-0.852538), (0.585463,-0.596136), (-0.049601,-0.173747), (0.038146,-0.873764), (-0.212269,-0.219863), (0.016365,0.162973), (0.203843,0.689397), (0.712504,-0.212455), (0.618976,0.321817), (-0.881284,-0.298369), (0.433249,0.023119), (0.299260,-0.142823), (0.983325,-0.169839), (-0.129157,0.490664), (-0.153250,0.976560), (-0.154110,0.659499), (0.788862,-0.475170), (-0.805749,0.284071), (0.327004,-0.870254), (-0.726146,-0.627987), (0.290143,0.018317), (-0.296031,0.011287), (0.409765,-0.773671), (-0.703952,-0.423139)]
Gen 8: [(0.131217,-0.611544), (-0.274366,-0.852538), (-0.418848,-0.611193), (-0.049601,-0.173747), (-0.527157,0.285301), (-0.077470,0.099329), (0.175848,-0.298738), (0.261905,0.352851), (0.518012,0.268037), (-0.477339,-0.089058), (-0.602084,0.151789), (-0.437830,0.077537), (0.787213,0.362713), (-0.833855,0.205625), (0.628133,0.542687), (0.005701,0.705440), (-0.557587,-0.818842), (0.788862,-0.475170), (-0.325223,0.262547), (0.327004,-0.870254), (-0.693007,-0.283826), (0.455304,-0.822253), (-0.410571,0.394076), (0.499365,-0.366241), (0.497460,0.860034)]
Gen 9: [(0.769170,-0.631720), (0.549366,0.327976), (0.660141,0.502691), (-0.841548,-0.488152), (0.194292,-0.957285), (0.157109,0.460989), (-0.748152,0.129156), (0.388490,-0.760833), (-0.160349,0.587798), (-0.498692,-0.651006), (0.537523,-0.273253), (0.939952,-0.187227), (-0.651787,0.699602), (0.335173,0.509101), (-0.885669,0.168355), (0.265167,-0.598222), (0.422790,0.656964), (-0.138107,-0.446270), (-0.106375,-0.201644), (-0.081357,0.825405), (-0.769189,-0.295524), (0.803321,0.074253), (-0.534012,0.622148), (0.210854,-0.801643), (0.465448,0.461864)]
