Polar Representation Log
n=10, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.1, indpb=0.2, seed=42
================================================================================

Gen 0: [(0.444680,-0.403628), (-0.377431,0.334175), (0.845935,-0.493776), (-0.604080,-0.189403), (0.325000,-0.010974), (0.302932,0.336603), (-0.127510,-0.392556), (-0.226410,0.713359), (0.077371,-0.646302), (0.157144,0.703503)]
Gen 1: [(-0.819332,0.093855), (0.218633,0.727863), (-0.463547,-0.098939), (0.942607,-0.092451), (-0.091553,0.452511), (0.592870,0.755224), (0.394262,-0.882174), (0.092482,-0.353891), (0.354479,-0.116496), (0.341367,0.310488)]
Gen 2: [(-0.819332,0.093855), (0.218633,0.727863), (-0.463547,-0.098939), (0.942607,-0.092451), (-0.091553,0.452511), (0.592870,0.755224), (0.394262,-0.882174), (0.092482,-0.353891), (0.354479,-0.116496), (0.341367,0.310488)]
Gen 3: [(-0.707345,0.292075), (0.218633,0.727863), (-0.463547,-0.098939), (0.942607,-0.092451), (-0.091553,0.452511), (0.592870,0.755224), (0.394262,-0.882174), (0.092482,-0.353891), (0.354479,-0.116496), (0.341367,0.310488)]
Gen 4: [(-0.644545,-0.550084), (0.218633,0.727863), (-0.980396,0.028784), (0.517861,-0.629937), (-0.091553,0.452511), (0.592870,0.755224), (-0.506808,0.140606), (-0.433828,-0.206273), (0.730988,0.371477), (0.460729,-0.090280)]
Gen 5: [(-0.819332,0.093855), (-0.112460,-0.445971), (0.845935,-0.493776), (-0.604080,-0.189403), (0.475463,0.000738), (0.149989,0.189835), (0.394262,-0.882174), (0.950950,0.008736), (-0.498136,-0.600558), (0.577543,0.441911)]
Gen 6: [(-0.819332,0.093855), (-0.112460,-0.445971), (0.845935,-0.493776), (-0.604080,-0.189403), (0.475463,0.000738), (0.149989,0.189835), (0.394262,-0.882174), (0.950950,0.008736), (-0.498136,-0.600558), (0.577543,0.441911)]
Gen 7: [(0.547358,0.661656), (0.069863,-0.488389), (-0.757605,0.305090), (0.023281,0.760126), (-0.322837,0.544417), (0.817908,-0.097414), (0.601813,-0.585411), (-0.358478,-0.121580), (-0.474316,-0.530574), (0.473612,0.093413)]
Gen 8: [(-0.343755,-0.404769), (0.216492,0.570372), (-0.980396,0.028784), (0.003645,-0.218415), (0.325000,-0.010974), (0.817908,-0.097414), (0.394262,-0.882174), (-0.226410,0.713359), (0.730988,0.371477), (0.683168,-0.516012)]
Gen 9: [(-0.746420,0.574522), (0.285402,-0.599190), (-0.980396,0.028784), (0.003645,-0.218415), (0.639088,0.735311), (0.817908,-0.097414), (-0.506808,0.140606), (-0.107069,0.311346), (-0.498136,-0.600558), (-0.436253,-0.225326)]
Gen 10: [(-0.819332,0.093855), (0.069863,-0.488389), (0.845935,-0.493776), (-0.679258,-0.315510), (0.475463,0.000738), (0.149989,0.189835), (0.394262,-0.882174), (0.950950,0.008736), (0.341699,0.675810), (-0.394318,-0.874069)]
Gen 11: [(0.080049,0.960890), (0.136134,0.489770), (-0.310145,0.233305), (0.003645,-0.218415), (0.947079,-0.177635), (0.005853,-0.818403), (-0.700237,-0.213238), (-0.226410,0.713359), (0.730988,0.371477), (0.683168,-0.516012)]
Gen 12: [(-0.819332,0.093855), (-0.112460,-0.445971), (-0.563364,0.616470), (0.023281,0.760126), (0.475463,0.000738), (0.005853,-0.818403), (0.394262,-0.882174), (0.516928,0.612210), (-0.498136,-0.600558), (0.887851,0.402085)]
Gen 13: [(-0.819332,0.093855), (0.216492,0.570372), (-0.463547,-0.098939), (-0.743026,-0.516918), (0.403195,-0.430983), (0.005853,-0.818403), (0.394262,-0.882174), (0.147448,-0.090836), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 14: [(-0.819332,0.093855), (0.136134,0.489770), (-0.310145,0.233305), (0.003645,-0.218415), (0.496640,-0.237142), (0.005853,-0.818403), (0.394262,-0.882174), (0.950950,0.008736), (-0.498136,-0.600558), (0.577543,0.441911)]
Gen 15: [(0.080049,0.960890), (0.216492,0.570372), (-0.463547,-0.098939), (0.003645,-0.218415), (0.403195,-0.430983), (0.592870,0.755224), (0.394262,-0.882174), (0.950950,0.008736), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 16: [(-0.819332,0.093855), (0.218633,0.727863), (-0.463547,-0.098939), (0.003645,-0.218415), (0.530380,-0.011229), (-0.487703,0.503321), (0.394262,-0.882174), (0.950950,0.008736), (0.730988,0.371477), (-0.394318,-0.874069)]
Gen 17: [(-0.819332,0.093855), (0.218633,0.727863), (-0.463547,-0.098939), (-0.743026,-0.516918), (0.403195,-0.430983), (-0.487703,0.503321), (0.394262,-0.882174), (0.950950,0.008736), (0.730988,0.371477), (-0.394318,-0.874069)]
