Polar Representation Log
n=25, generations=200, population=200
crossover_prob=0.8, mutation_prob=0.2, indpb=0.2, seed=12369
================================================================================

Gen 0: [(-0.612197,-0.466368), (-0.069317,-0.903100), (0.082414,-0.835308), (0.054094,0.837791), (0.445443,0.310365), (-0.568394,0.611687), (-0.047569,-0.049875), (0.072448,0.302602), (-0.015331,0.219665), (-0.077038,-0.357585), (0.047996,-0.069838), (0.801868,-0.422444), (-0.440127,-0.662496), (0.210722,0.083778), (0.193866,-0.442216), (0.263603,-0.180001), (0.282116,0.151630), (0.532825,0.679464), (0.461972,-0.618408), (-0.457056,0.471381), (-0.526443,0.340086), (-0.259695,-0.665389), (0.300320,-0.479633), (-0.336470,-0.102361), (-0.486361,0.050205)]
Gen 1: [(-0.152963,0.204267), (0.526125,-0.164144), (-0.001991,-0.217600), (-0.339439,-0.021710), (0.388888,-0.108961), (0.542117,-0.031333), (0.599303,0.457338), (-0.287894,0.324792), (-0.524885,0.148541), (-0.486967,-0.809707), (-0.345336,-0.806032), (0.142142,-0.215697), (0.529648,0.330862), (-0.015524,0.233553), (-0.249177,-0.582200), (0.803309,-0.386438), (-0.870013,0.074407), (0.275578,0.129420), (0.242859,-0.013851), (0.524086,-0.663628), (-0.252852,0.151012), (0.362619,-0.894960), (-0.000427,-0.000272), (0.329945,-0.386913), (-0.049180,-0.383183)]
Gen 2: [(0.733902,-0.055075), (-0.479359,-0.492513), (-0.048360,0.100090), (-0.077342,-0.058365), (-0.285432,0.346865), (-0.183462,-0.626821), (0.026654,0.900318), (-0.573205,0.139148), (0.662523,0.487310), (-0.247289,0.068377), (0.464921,-0.856176), (-0.217457,-0.235993), (0.205436,-0.948195), (0.242702,-0.438206), (0.599243,-0.441736), (-0.448931,-0.250948), (0.039558,-0.017192), (-0.737966,-0.043823), (0.328969,0.732714), (0.245800,0.161710), (-0.870760,-0.040850), (0.402203,-0.405620), (-0.474400,-0.818599), (0.738625,0.369334), (-0.052681,-0.893916)]
Gen 3: [(0.279394,-0.252974), (-0.361280,0.137595), (0.252242,0.113113), (0.047629,0.311241), (-0.543655,0.596471), (-0.066032,-0.677449), (0.300392,0.256648), (-0.085868,-0.180612), (0.070763,0.421691), (-0.200282,-0.245815), (-0.749974,-0.478640), (0.104933,0.123545), (0.035617,-0.538387), (0.522326,0.311841), (-0.084124,0.071115), (0.424831,-0.103569), (0.468130,-0.767867), (-0.496680,0.786545), (0.232838,0.462351), (-0.027656,-0.075773), (-0.870760,-0.040850), (-0.045288,0.656120), (-0.180002,0.282245), (-0.411887,0.286769), (0.823600,-0.313217)]
Gen 4: [(0.733902,-0.055075), (0.315407,0.196421), (-0.309868,0.583820), (-0.097046,0.737172), (-0.968109,-0.126409), (-0.679698,-0.065588), (0.026654,0.900318), (-0.573205,0.139148), (0.662523,0.487310), (0.314741,-0.526869), (-0.145943,-0.173012), (-0.315696,0.119384), (-0.083046,0.556030), (-0.007979,0.009560), (-0.071718,0.411353), (0.088539,-0.274103), (-0.385368,-0.390109), (-0.147951,-0.410519), (-0.783968,-0.427789), (0.192790,-0.022227), (0.044645,0.374993), (0.033620,-0.133837), (-0.474400,-0.818599), (0.503114,-0.514782), (0.098346,-0.716473)]
Gen 5: [(0.733902,-0.055075), (0.262048,-0.647157), (0.368030,0.906623), (-0.158822,0.280477), (-0.269783,0.357281), (-0.307037,0.630957), (0.221071,0.111152), (-0.413315,0.507046), (-0.257968,-0.853801), (-0.280895,-0.492404), (0.464921,-0.856176), (0.313451,0.311961), (0.444078,0.576149), (0.739046,-0.287695), (0.599243,-0.441736), (-0.448931,-0.250948), (0.614748,0.200772), (0.184613,0.251186), (0.198016,-0.171245), (0.754085,0.568559), (-0.097671,0.606953), (0.454984,0.032646), (0.830004,0.168329), (-0.119722,-0.357791), (-0.061535,-0.194450)]
Gen 6: [(0.733902,-0.055075), (0.262048,-0.647157), (0.368030,0.906623), (-0.158822,0.280477), (-0.269783,0.357281), (-0.307037,0.630957), (0.221071,0.111152), (-0.413315,0.507046), (-0.257968,-0.853801), (-0.280895,-0.492404), (0.464921,-0.856176), (0.313451,0.311961), (0.444078,0.576149), (0.739046,-0.287695), (0.599243,-0.441736), (-0.448931,-0.250948), (0.614748,0.200772), (0.184613,0.251186), (0.198016,-0.171245), (0.754085,0.568559), (-0.097671,0.606953), (0.454984,0.032646), (0.830004,0.168329), (-0.119722,-0.357791), (-0.061535,-0.194450)]
Gen 7: [(0.733902,-0.055075), (0.262048,-0.647157), (0.534158,0.729696), (0.047629,0.311241), (0.200763,0.675578), (-0.307037,0.630957), (0.646544,0.100542), (-0.287894,0.324792), (-0.378176,0.197168), (-0.274298,-0.292951), (0.464921,-0.856176), (0.142142,-0.215697), (0.444078,0.576149), (0.739046,-0.287695), (0.599243,-0.441736), (-0.106361,-0.928174), (0.301956,0.104625), (0.631119,-0.637190), (0.328969,0.732714), (0.754085,0.568559), (-0.079425,-0.639938), (-0.639580,-0.369654), (-0.000427,-0.000272), (-0.119722,-0.357791), (-0.471380,-0.776506)]
Gen 8: [(0.733902,-0.055075), (0.262048,-0.647157), (0.534158,0.729696), (0.047629,0.311241), (0.200763,0.675578), (-0.307037,0.630957), (0.646544,0.100542), (-0.287894,0.324792), (-0.378176,0.197168), (-0.274298,-0.292951), (0.464921,-0.856176), (0.142142,-0.215697), (0.444078,0.576149), (0.739046,-0.287695), (0.599243,-0.441736), (-0.106361,-0.928174), (0.301956,0.104625), (0.631119,-0.637190), (0.328969,0.732714), (0.754085,0.568559), (-0.079425,-0.639938), (-0.639580,-0.369654), (-0.000427,-0.000272), (-0.119722,-0.357791), (-0.471380,-0.776506)]
Gen 9: [(0.733902,-0.055075), (0.262048,-0.647157), (0.534158,0.729696), (0.047629,0.311241), (0.200763,0.675578), (-0.307037,0.630957), (0.646544,0.100542), (-0.287894,0.324792), (-0.378176,0.197168), (-0.274298,-0.292951), (0.464921,-0.856176), (0.142142,-0.215697), (0.444078,0.576149), (0.739046,-0.287695), (0.599243,-0.441736), (-0.106361,-0.928174), (0.301956,0.104625), (0.631119,-0.637190), (0.328969,0.732714), (0.754085,0.568559), (-0.079425,-0.639938), (-0.639580,-0.369654), (-0.000427,-0.000272), (-0.119722,-0.357791), (-0.471380,-0.776506)]
