Polar Representation Log
n=5, generations=200, population=200
crossover_prob=0.7, mutation_prob=0.2, indpb=0.2, seed=42
================================================================================

Gen 0: [(0.068743,-0.350293), (-0.426246,0.753605), (-0.720132,-0.326685), (0.341699,0.675810), (0.683168,-0.516012)]
Gen 1: [(-0.358023,0.765980), (0.008384,0.025177), (-0.624147,-0.181082), (-0.202338,-0.826968), (0.808756,0.033042)]
Gen 2: [(0.162151,0.728279), (0.801917,0.570534), (0.927993,-0.315091), (-0.707822,-0.320095), (0.114646,-0.344748)]
Gen 3: [(-0.955858,-0.221339), (-0.017434,-0.806300), (0.421061,0.874291), (0.746563,0.210032), (0.683168,-0.516012)]
Gen 4: [(-0.955858,-0.221339), (-0.204906,0.483880), (0.421061,0.874291), (0.690047,0.209748), (-0.140249,-0.759143)]
Gen 5: [(-0.337651,-0.646176), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.119702,-0.020390)]
Gen 6: [(-0.493214,0.117717), (0.703197,0.622640), (-0.194274,-0.980534), (-0.175953,0.950745), (0.683168,-0.516012)]
Gen 7: [(-0.955858,-0.221339), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.119702,-0.020390)]
Gen 8: [(-0.533511,-0.536258), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.119702,-0.020390)]
Gen 9: [(-0.533511,-0.536258), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.119702,-0.020390)]
Gen 10: [(-0.630747,-0.762440), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.119702,-0.020390)]
Gen 11: [(-0.533511,-0.536258), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.119702,-0.020390)]
Gen 12: [(-0.873083,-0.109307), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.094337,-0.745016)]
Gen 13: [(-0.873083,-0.109307), (0.703197,0.622640), (-0.194274,-0.980534), (-0.175953,0.950745), (0.683168,-0.516012)]
Gen 14: [(-0.873083,-0.109307), (0.703197,0.622640), (0.927993,-0.315091), (-0.175953,0.950745), (0.094337,-0.745016)]
